,latitude,longitude,trading_name
465,53.355250100000006,-6.2660725999999975,Long Island Bar
463,53.3513297,-6.2700682,Bodkins
459,53.3492458,-6.270469299999999,The Capel Bar
177,53.3481865,-6.270230499999999,The Market Hacienda Bar
79,53.3459786,-6.2695111999999975,Sin É
78,53.345675,-6.2718380000000025,The Chancery Inn
76,53.3458596,-6.2721300000000015,The Legal Eagle
16,53.34692310000001,-6.2723323,M. Hughes
192,53.3511412,-6.277724299999999,The Richmond
187,53.3520736,-6.2798373,The Barbers
456,53.349842,-6.2784733,Delaneys Bar
457,53.34980529999999,-6.2778529,The Cobblestone
461,53.3483761,-6.2773544,The Old Jameson Distillery
176,53.348418,-6.2782097000000014,Formerly Chief O'neill's
458,53.348809,-6.278513999999999,Oscar's Cafe Bar
175,53.34709119999999,-6.280309,The Dice Bar
172,53.3469973,-6.2800461,Frank Ryan's And Son
174,53.3449326,-6.2763323,The Brazen Head
441,53.344975,-6.275827,O'sheas Merchant
35,53.3415748,-6.274775900000002,The Liberty Belle
167,53.3397608,-6.2759031,Shanahan's
442,53.3406236,-6.278217499999999,Graingers
446,53.34157099999999,-6.278464899999999,Bohans
445,53.3417214,-6.2786664000000005,The Lark Inn
169,53.34282,-6.277193899999999,Tom Kennedy's (public House)
171,53.34307339999999,-6.2770240999999976,The Thomas House
444,53.3426072,-6.277982700000001,Vicar Street
168,53.3426397,-6.2789817,Baker's
170,53.34288660000001,-6.279246400000001,The Clock
173,53.34315400000001,-6.2816160000000005,Arthur's
447,53.3398929,-6.2819427,The Pimlico Tavern
196,53.3434114,-6.2870906,The Pilot Brewery
195,53.34710949999999,-6.2836943,Coin And Button
194,53.3503765,-6.2816892000000015,Walshs Pub
455,53.35040859999999,-6.2820078,The Belfry
193,53.35084670000001,-6.282031799999999,The Glimmerman
191,53.35105600000001,-6.282432599999999,Tommy O'gara's
190,53.35335600000001,-6.285852999999999,Kavanagh's
188,53.3542431,-6.2867177000000005,Hynes Bar
189,53.35614690000001,-6.287952400000001,The City Arms
454,53.3480475,-6.290149400000002,Millennium Bar
198,53.3481564,-6.2932568,Reas Public House
199,53.3481667,-6.2935959000000015,Ryans Of Parkgate Street
199,53.3481667,-6.2935959000000015,Ryans Of Parkgate Street
200,53.348166000000006,-6.2940051,Nancy Hands
202,53.3482102,-6.294495599999999,Liam Walsh's
203,53.34165260000001,-6.3036847,The Old Royal Oak
204,53.3417399,-6.3074832,The Patriots Inn
205,53.3406905,-6.3107102,The Glen Of Aherlow
207,53.3402577,-6.3167363,Mcdowells
206,53.33953760000001,-6.3187335,Timothy Crough
208,53.33581949999999,-6.3120599,The Marble Arch
215,53.3274422,-6.3061957,The Old County Bar
216,53.3280921,-6.3049954,Shearys
214,53.328683700000006,-6.303331299999999,The Gate Bar
209,53.336599,-6.2992162,The Bird Flanagan
210,53.3362037,-6.297918999999999,Charlie Byrnes
450,53.3424238,-6.2944904999999975,Kennys
