latitude,longitude,trading_name
53.321011,-6.3929791,The Laurels
53.319143000000004,-6.363391999999998,The Red Cow Inn
53.30746749999999,-6.3675481,The Kingswood Lodge
53.3023325,-6.378597,The Belgard Inn
53.289722,-6.364942,Metro Cafe Bar
53.2867544,-6.3898480000000015,Croughs
53.27675079999999,-6.379438299999999,The Killinarden House
53.271665299999995,-6.3718235,Kiltipper Cafe Bar
53.2752336,-6.3542872,The Old Mill
53.27491999999999,-6.344958,Scholars
53.2644038,-6.296883599999999,Merry Ploughboy Pub
53.281204599999995,-6.2758867999999985,The Eden House
53.2841005,-6.2954289,Buglers
53.2967024,-6.284808300000001,Yellow House
53.298338199999996,-6.285603999999998,Revels
53.29974139999999,-6.2681124000000015,The Glenside
53.29500609999999,-6.256863500000001,The Bottle Tower
53.2893902,-6.2433345000000005,Dundrum House
53.28700799999999,-6.2422669,Harvey Nichols
53.286267099999996,-6.237279900000001,The Rockfield Lounge
53.2778784,-6.231125,Tgi Friday's/dante
53.27658979999999,-6.224056299999999,The Balally Inn
53.2764191,-6.249104,The Coach House
53.2747083,-6.2545715,Ballinteer House
53.28414420000001,-6.2507361,The Willows
53.289016000000004,-6.242933,The Eagle House
53.287395,-6.2426110999999995,Winters Bar
53.29266170000001,-6.229892400000001,The Goat
53.2952416,-6.2462502,Uncle Toms Cabin
53.30116659999999,-6.245978599999999,Arbour House
53.307986,-6.255082,Dropping Well
53.31412049999999,-6.2387375,Clonskeagh House
53.316089,-6.237508999999998,Ashtons
53.3232446,-6.2500813,Mcsorleys Public House
53.3240817,-6.252326000000001,Humphreys
53.323373600000004,-6.2503527000000005,Birchalls
53.324161600000004,-6.2524114,Smyth's Of Ranelagh
53.32443869999999,-6.2404103,Mccloskeys
53.32268639999999,-6.2385704,Madigan's
53.3216627,-6.235172400000001,Arthur Maynes Donnybrook
53.322258999999995,-6.236567900000001,Kielys Of Donnybrook
53.318430299999996,-6.211114100000001,The Merrion Inn
53.328573999999996,-6.2288879999999995,Madigan's
53.3290443,-6.2304058,Paddy Cullens And Also Mary Macs
53.329262,-6.232083,The Bridge 1859
53.329112300000006,-6.230480699999998,Crowes
53.3328637,-6.2152293,O' Reilly
53.3323703,-6.2152673,Sandymount House
53.332912,-6.215955000000001,Mulligans Of Sandymount
53.33748199999999,-6.232183999999998,The Bath
53.34208889999999,-6.227492,The Yacht Bar
53.3396145,-6.2229892,O'keeffe's
53.3416997,-6.2275797,John Clarke And Sons South Dock
53.33878829999999,-6.2229728999999985,The Vintage Public House
53.34165600000001,-6.22786,The Oarsman
53.342362699999995,-6.2276976999999984,The Shipwright
53.340002600000005,-6.2321067999999995,Shelbourne Greyhound Stadium
53.340093,-6.2393160000000005,Osteria Lucio
53.34335000000001,-6.2447162999999986,Padraig Pearse
53.344211800000004,-6.2489344000000004,The Lombard
53.3414994,-6.2483629,Probus Wines And Spirits Of Dublin
53.33849,-6.251306,Mcgrattans Restaurant
53.338318099999995,-6.255303,Residence
53.33831,-6.254544,Marcel's
53.3380231,-6.2529694000000005,Doheny And Nesbitt
53.3361394,-6.2568633,Eamon Doran's Tavern On The Green
53.336371,-6.2656839999999985,Ryans
53.339658299999996,-6.2656855,The Swan Bar
53.33750300000001,-6.265868999999999,Karma Stone
53.336367,-6.2740524,Kate Mcauley's
53.336580000000005,-6.265715,Whelans
53.3370639,-6.2654834,Against The Grain
53.33603000000001,-6.2652730000000005,Flannery's Bar
53.3409566,-6.2617794999999985,Sheehans
53.3410567,-6.2624311,Bar Rua
53.34137020000001,-6.2652795999999995,Capitol Bar
53.34136789999999,-6.2608723,Bruxelles
53.3411613,-6.2594293,Kehoes
53.34157,-6.259120999999999,Lemon And Duke
53.341853,-6.256037,Robert Reids
53.341933700000006,-6.2634273999999985,Drury Buildings
53.342008299999996,-6.2594321,The Bailey
53.341977500000006,-6.2587795999999996,The Duke
53.346977700000004,-6.258138099999999,J. W. Sweetman
53.3483235,-6.259074099999999,Grand Central
53.348342,-6.2586879999999985,Wynns Hotel
53.34864739999999,-6.2588422999999995,Madigans
53.3483313,-6.2559502,The Wiley Fox
53.34691489999999,-6.2556123,John Mulligan
53.3473196,-6.2547882,J. Kennedy
53.348743000000006,-6.257746,The Flowing Tide
53.349059,-6.257921,Pipers Corner
53.35008999999999,-6.2510699999999995,The Brew Dock Bar
